1419285600 1419372000 0 20000 0 20000
1419285600 2 930 1
1419285600 3 969 115
1419285600 4 870 424
1419285600 5 794 0
1419285600 6 544 120
1419285600 7 1228 375
1419285600 8 686 141
1419285600 9 86 591
1419285600 10 862 54
1419285600 11 847 94
1419285600 12 533 168
1419285600 13 656 12
1419285600 14 574 18
1419285600 15 872 36
1419285600 16 597 203
1419285600 17 889 12
1419285600 18 859 94
1419285600 19 893 51
1419285600 20 819 1072
1419285600 21 935 117
1419285600 22 674 56
1419285600 23 826 29
1419285600 24 611 68
1419285600 25 631 15
1419285600 26 22 28
1419285600 27 843 148
1419285600 28 779 17
1419285600 29 226 256
1419285600 30 38 45
1419285600 31 624 123
1419285600 32 1160 552
1419285600 33 531 145
1419285600 34 527 76
1419285600 35 1193 381
1419285600 36 1197 384
1419285600 37 881 36
1419285600 38 873 58
1419285600 39 743 88
1419285600 40 955 261
1419285600 41 929 25
1419285600 42 456 16
1419285600 43 1008 184
1419285600 44 984 173
1419285600 45 11 7
1419285600 46 9 4
1419285600 47 732 1067
1419285600 48 886 131
1419285600 49 10 1021
1419285600 50 144 978
1419285600 51 204 1035
1419285600 52 888 34
1419285600 53 199 852
1419285600 54 285 910
1419285600 55 854 8
1419285600 56 861 20
1419285600 57 652 129
1419285600 58 1008 200
1419285600 59 1132 58
1419285600 60 926 40
1419285600 61 122 140
1419285600 62 941 134
1419285600 63 885 7
1419285600 64 818 100
1419285600 65 196 868
1419285600 66 982 196
1419285600 67 615 4
1419285600 68 438 710
1419285600 69 853 165
1419285600 70 258 49
1419285600 71 444 202
1419285600 72 956 125
1419285600 73 688 45
1419285600 74 861 49
1419285600 75 895 66
1419285600 76 977 189
1419285600 77 921 43
1419285600 78 935 239
1419285600 79 820 75
1419285600 80 1122 34
1419285600 81 808 198
1419285600 82 673 31
1419285600 83 867 37
1419285600 84 874 100
1419285600 85 533 52
1419285600 86 608 34
1419285600 87 544 140
1419285600 88 769 157
1419285600 89 660 214
1419285600 90 876 2
1419285600 91 867 37
1419285600 92 776 176
1419285600 93 745 159
1419285600 94 955 261
1419285600 95 795 150
1419285600 96 973 160
1419285600 97 729 107
1419285600 98 957 62
1419285600 99 883 198
1419285600 100 1111 330
1419285600 101 1158 94
